Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)	
cgd8_1800	cgd8_1800-RA	CM000436:491,552..492,649(+)	Uncharacterized protein	1	3	3	
cgd8_1820	cgd8_1820-RA	CM000436:494,235..496,943(-)	ATP-dependent RNA helicase, putative	1	1	1	
cgd8_1840	cgd8_1840-RA	CM000436:499,954..501,478(-)	Ribosomal protein S4/S9	1	4	4	
cgd8_1850	cgd8_1850-RA	CM000436:502,304..503,469(-)	E2F/DP family winged-helix DNA-binding domain containing protein	1	1	1	
cgd8_20230	cgd8_20230-RA	CM000434:471,776..473,339(+)	Folate-biopterin transporter	1	3	3	
cgd8_2110	cgd8_2110-RA	CM000436:576,659..577,336(-)	MIR motif-containing 39-like glycosyltransferase	1	2	2	
cgd8_2150	cgd8_2150-RA	CM000436:581,346..582,134(-)	Proliferating cell nuclear antigen	1	2	2	
cgd8_2170	cgd8_2170-RA	CM000436:584,485..585,286(-)	Histone H2A	1	2	2	
cgd8_2330	cgd8_2330-RA	CM000436:621,963..626,094(+)	Pyridine nucleotide/ NAD(P) transhydrogenase alpha plus beta subunit	1	2	2	
cgd8_2340	cgd8_2340-RA	CM000436:625,752..626,889(-)	Cold-shock DNA-binding domain-containing  protein	1	1	1	
cgd8_240	cgd8_240-RA	CM000436:65,851..66,858(+)	Uncharacterized protein	1	1	1	
cgd8_2410	cgd8_2410-RA	CM000436:638,639..641,173(-)	RHD3/Sey1	1	1	1	
cgd8_2670	cgd8_2670-RA	CM000436:706,324..708,420(+)	Glucose-methanol-choline oxidoreductase	1	4	4	
cgd8_2790	cgd8_2790-RA	CM000436:735,902..748,519(+)	Pleckstrin homology (PH domain) containing protein	1	81	81	
cgd8_2870	cgd8_2870-RA	CM000436:761,679..762,662(-)	60S ribosomal protein L10A	1	6	6	
cgd8_2930	cgd8_2930-RA	CM000436:771,589..774,099(-)	GTpase translation elongation factor 2	1	26	26	
cgd8_2940	cgd8_2940-RA	CM000436:774,689..775,696(+)	 Replication factor C like AAA Atpase	1	1	1	
cgd8_3040	cgd8_3040-RA	CM000436:792,077..794,704(-)	Uncharacterized transmembrane Protein	1	1	1	
cgd8_3090	cgd8_3090-RA	CM000436:807,911..808,615(+)	Proteasome activator p28/ Ki autoantigen	1	1	1	
cgd8_3100	cgd8_3100-RA	CM000436:808,914..812,042(+)	Valyl-tRNA synthetase	1	1	1	
cgd8_3120	cgd8_3120-RA	CM000436:815,157..815,954(-)	Uncharacterized protein	1	1	1	
cgd8_3190	cgd8_3190-RA	CM000436:825,448..826,635(+)	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)	1	2	2	
cgd8_320	cgd8_320-RA	CM000436:80,097..82,134(-)	Uncharacterized protein	1	1	1	
cgd8_3270	cgd8_3270-RA	CM000436:841,869..843,734(-)	DNAJ protein	1	2	2	
cgd8_3290	cgd8_3290-RA	CM000436:847,566..848,775(-)	S-adenosyl-L-methionine-dependent methyltransferase	1	4	4	
cgd8_3320	cgd8_3320-RA	CM000436:853,334..855,373(-)	Phenylalanyl-tRNA synthetase beta chain	1	2	2	
cgd8_3350	cgd8_3350-RA	CM000436:857,486..860,149(+)	Oocyst wall protein 4	1	7	7	
cgd8_3370	cgd8_3370-RA	CM000436:862,169..863,776(+)	RNA recognition motif domain containing protein	1	1	1	
cgd8_3430	cgd8_3430-RA	CM000436:874,009..876,819(+)	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	1	15	15	
cgd8_3450	cgd8_3450-RA	CM000436:880,669..881,522(+)	60S ribosomal protein L17/L22	1	6	6	
cgd8_3480	cgd8_3480-RA	CM000436:885,651..886,297(+)	60S ribosomal protein L34	1	1	1	
cgd8_350	cgd8_350-RA	CM000436:85,433..87,165(+)	Asparaginyl-tRNA synthetase (NOB+tRNA synthase)	1	5	5	
cgd8_3520	cgd8_3520-RA	CM000436:892,588..896,486(-)	Uncharacterized Secreted Protein	1	2	2	
cgd8_360	cgd8_360-RA	CM000436:87,433..88,363(+)	vacuolar ATP synthase subunit E	1	5	5	
cgd8_3760	cgd8_3760-RA	CM000436:948,806..955,177(-)	Signal Peptide Uncharacterized transmembrane Protein	1	1	1	
cgd8_3900	cgd8_3900-RA	CM000436:974,386..976,420(+)	 Sub2p like superfamily II helicase	1	4	4	
cgd8_400	cgd8_400-RA	CM000436:96,060..97,012(+)	60S ribosomal protein L6	1	10	10	
cgd8_4050	cgd8_4050-RA	CM000436:1,012,236..1,013,038(+)	Ribosomal protein S29	1	3	3	
cgd8_4060	cgd8_4060-RA	CM000436:1,013,768..1,015,467(+)	 26S proteasome regulatory subunit C-terminal/Proteasome component domain containing protein	1	1	1	
cgd8_4110	cgd8_4110-RA	CM000436:1,029,493..1,031,298(-)	Uncharacterized protein with WD40 repeat	1	2	2	
cgd8_4290	cgd8_4290-RA	CM000436:1,066,671..1,067,869(-)	PH domain-like protein	1	4	4	
cgd8_430	cgd8_430-RA	CM000436:104,129..105,298(-)	60S ribosomal protein L7A	1	7	7	
cgd8_4300	cgd8_4300-RA	CM000436:1,068,398..1,068,931(+)	Uncharacterized protein	1	2	2	
cgd8_4310	cgd8_4310-RA	CM000436:1,069,043..1,069,742(+)	PH domain-like protein	1	1	1	
cgd8_4350	cgd8_4350-RA	CM000436:1,075,914..1,076,939(-)	60S ribosomal protein L7/L30	1	6	6	
cgd8_4360	cgd8_4360-RA	CM000436:1,077,233..1,078,559(-)	Ribosomal protein S8	1	4	4	
cgd8_4390	cgd8_4390-RA	CM000436:1,084,418..1,084,951(-)	Uncharacterized protein	1	4	4	
cgd8_440	cgd8_440-RA	CM000436:105,946..107,096(+)	60S ribosomal protein L5	1	5	5	
cgd8_4470	cgd8_4470-RA	CM000436:1,102,950..1,105,826(+)	Sec23/Sec24	1	2	2	
cgd8_4660	cgd8_4660-RA	CM000436:1,157,654..1,158,847(-)	Uncharacterized protein	1	8	8	
cgd8_4880	cgd8_4880-RA	CM000436:1,224,676..1,226,180(+)	Uncharacterized transmembrane Protein	1	2	2	
cgd8_500	cgd8_500-RA	CM000436:119,944..120,417(-)	EF-hand calcium-binding domain containing protein	1	3	3	
cgd8_5030	cgd8_5030-RA	CM000436:1,263,161..1,264,135(+)	Articulin family protein, Pfs77 protein-related	1	3	3	
cgd8_5050	cgd8_5050-RA	CM000436:1,265,535..1,266,666(+)	Palmitoyltransferase	1	1	1	
cgd8_5090	cgd8_5090-RA	CM000436:1,269,913..1,270,833(+)	Uncharacterized protein	1	3	3	
cgd8_5160	cgd8_5160-RA	CM000436:1,279,551..1,281,151(+)	Uncharacterized protein	1	3	3	
cgd8_5220	cgd8_5220-RA	CM000436:1,297,465..1,298,496(+)	OST3 / OST6 family, transporter family	1	1	1	
cgd8_5230	cgd8_5230-RA	CM000436:1,298,598..1,299,302(-)	Histone H4	1	1	1	
cgd8_5260	cgd8_5260-RA	CM000436:1,301,779..1,303,463(+)	SRP54-type protein, GTPase domain containing protein	1	1	1	
cgd8_570	cgd8_570-RA	CM000436:143,142..146,424(-)	Proteasome regulatory complex Rpn1 subunit	1	4	4	
cgd8_650	cgd8_650-RA	CM000436:163,355..164,563(+)	60S ribosomal protein L23A	1	3	3	
cgd8_680	cgd8_680-RA	CM000436:173,256..176,696(-)	Uncharacterized protein	1	2	2	
cgd8_730	cgd8_730-RA	CM000436:205,142..206,780(+)	Modulator of levamisole receptor-1	1	1	1	
cgd8_790	cgd8_790-RA	CM000436:217,998..220,324(-)	Glutamyl-tRNA synthetase	1	2	2	
cgd8_840	cgd8_840-RA	CM000436:233,262..234,502(+)	 26S proteasome subunit P45/AAA+ ATpase	1	4	4	
cgd8_860	cgd8_860-RA	CM000436:236,262..241,393(-)	Coatomer protein complex subunit alpha	1	3	3	
